i_episode: 150,	 reward_accu: 144, 	 action_length: 1555,	 running times: 1555
i_episode: 151,	 reward_accu: 144, 	 action_length: 1479,	 running times: 1479
i_episode: 152,	 reward_accu: 144, 	 action_length: 1512,	 running times: 1512
i_episode: 153,	 reward_accu: 144, 	 action_length: 1518,	 running times: 1518
i_episode: 154,	 reward_accu: 144, 	 action_length: 1550,	 running times: 1550
i_episode: 155,	 reward_accu: 144, 	 action_length: 1496,	 running times: 1496
i_episode: 156,	 reward_accu: 144, 	 action_length: 1506,	 running times: 1506
i_episode: 157,	 reward_accu: 144, 	 action_length: 1576,	 running times: 1576
i_episode: 158,	 reward_accu: 144, 	 action_length: 1494,	 running times: 1494
i_episode: 159,	 reward_accu: 144, 	 action_length: 1550,	 running times: 1550
i_episode: 160,	 reward_accu: 144, 	 action_length: 1538,	 running times: 1538
i_episode: 161,	 reward_accu: 144, 	 action_length: 1524,	 running times: 1524
i_episode: 162,	 reward_accu: 144, 	 action_length: 1456,	 running times: 1456
i_episode: 163,	 reward_accu: 144, 	 action_length: 1470,	 running times: 1470
i_episode: 164,	 reward_accu: 144, 	 action_length: 1421,	 running times: 1421
i_episode: 165,	 reward_accu: 144, 	 action_length: 1534,	 running times: 1534
i_episode: 166,	 reward_accu: 144, 	 action_length: 1532,	 running times: 1532
i_episode: 167,	 reward_accu: 144, 	 action_length: 1544,	 running times: 1544
i_episode: 168,	 reward_accu: 144, 	 action_length: 1513,	 running times: 1513
i_episode: 169,	 reward_accu: 144, 	 action_length: 1447,	 running times: 1447
i_episode: 170,	 reward_accu: 144, 	 action_length: 2754,	 running times: 2754
i_episode: 171,	 reward_accu: 144, 	 action_length: 1640,	 running times: 1640
i_episode: 172,	 reward_accu: 144, 	 action_length: 1578,	 running times: 1578
i_episode: 173,	 reward_accu: 144, 	 action_length: 1819,	 running times: 1819
i_episode: 174,	 reward_accu: 144, 	 action_length: 1621,	 running times: 1621
i_episode: 175,	 reward_accu: 144, 	 action_length: 1688,	 running times: 1688
i_episode: 176,	 reward_accu: 144, 	 action_length: 3369,	 running times: 3369
i_episode: 177,	 reward_accu: 144, 	 action_length: 1538,	 running times: 1538
i_episode: 178,	 reward_accu: 144, 	 action_length: 1511,	 running times: 1511
i_episode: 179,	 reward_accu: 144, 	 action_length: 1439,	 running times: 1439
i_episode: 180,	 reward_accu: 144, 	 action_length: 1501,	 running times: 1501
i_episode: 181,	 reward_accu: 144, 	 action_length: 1528,	 running times: 1528
i_episode: 182,	 reward_accu: 144, 	 action_length: 1482,	 running times: 1482
i_episode: 183,	 reward_accu: 144, 	 action_length: 1494,	 running times: 1494
i_episode: 184,	 reward_accu: 144, 	 action_length: 1498,	 running times: 1498
i_episode: 185,	 reward_accu: 144, 	 action_length: 1537,	 running times: 1537
i_episode: 186,	 reward_accu: 144, 	 action_length: 1478,	 running times: 1478
i_episode: 187,	 reward_accu: 144, 	 action_length: 1532,	 running times: 1532
i_episode: 188,	 reward_accu: 144, 	 action_length: 1466,	 running times: 1466
i_episode: 189,	 reward_accu: 144, 	 action_length: 1463,	 running times: 1463
i_episode: 190,	 reward_accu: 144, 	 action_length: 1524,	 running times: 1524
i_episode: 191,	 reward_accu: 144, 	 action_length: 1548,	 running times: 1548
i_episode: 192,	 reward_accu: 144, 	 action_length: 1466,	 running times: 1466
i_episode: 193,	 reward_accu: 144, 	 action_length: 1474,	 running times: 1474
i_episode: 194,	 reward_accu: 144, 	 action_length: 1496,	 running times: 1496
i_episode: 195,	 reward_accu: 144, 	 action_length: 1526,	 running times: 1526
i_episode: 196,	 reward_accu: 144, 	 action_length: 1417,	 running times: 1417
i_episode: 197,	 reward_accu: 144, 	 action_length: 1524,	 running times: 1524
i_episode: 198,	 reward_accu: 144, 	 action_length: 1474,	 running times: 1474
i_episode: 199,	 reward_accu: 144, 	 action_length: 1471,	 running times: 1471
i_episode: 200,	 reward_accu: 144, 	 action_length: 1518,	 running times: 1518
[-1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 3, 1, 1, 1, 1, 1, 1, 1, 1, 13, 1, 4, 35, 7, 1, 9, 16, 7, 25, 18, 45, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 48, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 42, 144, 78, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 66, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 120, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144]
i_episode: 201,	 reward_accu: 144, 	 action_length: 1534,	 running times: 1534
i_episode: 202,	 reward_accu: 144, 	 action_length: 1501,	 running times: 1501
