i_episode: 266,	 reward_accu: 48, 	 action_length: 382,	 running times: 136
i_episode: 267,	 reward_accu: 48, 	 action_length: 380,	 running times: 136
i_episode: 268,	 reward_accu: 48, 	 action_length: 376,	 running times: 139
i_episode: 269,	 reward_accu: 48, 	 action_length: 390,	 running times: 139
i_episode: 270,	 reward_accu: 48, 	 action_length: 418,	 running times: 155
i_episode: 271,	 reward_accu: 48, 	 action_length: 402,	 running times: 136
i_episode: 272,	 reward_accu: 48, 	 action_length: 388,	 running times: 135
i_episode: 273,	 reward_accu: 48, 	 action_length: 402,	 running times: 142
i_episode: 274,	 reward_accu: 48, 	 action_length: 410,	 running times: 140
i_episode: 275,	 reward_accu: 48, 	 action_length: 386,	 running times: 143
i_episode: 276,	 reward_accu: 48, 	 action_length: 400,	 running times: 140
i_episode: 277,	 reward_accu: 48, 	 action_length: 372,	 running times: 130
i_episode: 278,	 reward_accu: 48, 	 action_length: 436,	 running times: 158
i_episode: 279,	 reward_accu: 48, 	 action_length: 400,	 running times: 136
i_episode: 280,	 reward_accu: 48, 	 action_length: 432,	 running times: 164
i_episode: 281,	 reward_accu: 48, 	 action_length: 422,	 running times: 157
[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, 0, 0, -1, 0, 1, -1, 1, 2, 0, 1, 2, 0, 3, 2, 1, 5, 1, 4, 5, 5, 3, 4, 2, 4, 2, 3, 20, 20, 10, -1, 7, 6, 35, -1, 2, 48, 27, 1, 2, 4, 45, 26, 18, 43, -1, 11, 48, 3, 23, 5, 7, 48, 6, 5, 21, 21, 0, 6, 48, 4, 24, 2, 4, 3, 48, 3, 48, 48, 48, 6, 48, 37, 13, 12, 12, 25, 48, 48, 5, 48, 48, 3, 48, 48, 4, 48, 48, 11, 48, 48, 48, 5, 48, 48, 48, 48, 9, 48, 48, 48, 48, 1, 48, 48, 0, 48, 48, 2, 37, 48, 48, 19, 48, 48, -1, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 4, 48, 48, 5, 48, 48, 48, 48, 28, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 14, 48, 48, 48, 2, 48, 48, 48, 48, 48, 48, 48, 48, 2, 48, 48, 48, 48, 48, 48, 48, 48, 48, 23, 48, 48, 22, 6, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48]
